cust,monthly_bill,cycle,qty,size,commodity,pickups,bin_amount,tax_body,biz_type
1742,44.86,CA,1,0.48,Recycle,1,0,COUNTY,PRESCHOOL
1742,44.86,CA,1,0.48,Compost,1,0,COUNTY,PRESCHOOL
1767,363.91,CA,1,2,Garbage,1,363.91,S,FLORIST
1767,363.91,CA,3,0.48,Recycle,1,0,S,FLORIST
1767,363.91,CA,2,0.48,Compost,1,0,S,FLORIST
1824,684.42,CA,1,0.48,Recycle,1,100.93,COUNTY,WINERY
1824,684.42,CA,1,0.48,Recycle,1,100.93,COUNTY,WINERY
2064,1693.5,CA,1,4,Compost,1,605.47,COUNTY,WINERY
2064,1693.5,CA,1,4,Compost,1,605.47,COUNTY,WINERY
2064,1693.5,CA,1,0.48,Compost,1,0,COUNTY,WINERY
2064,1693.5,CA,1,2,Garbage,1,482.56,COUNTY,WINERY
2064,1693.5,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
2064,1693.5,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
2226,0,CA,1,3.5,Garbage,1,0,COUNTY,VINEYARD
2226,0,CA,1,0.48,Recycle,1,0,COUNTY,VINEYARD
2226,0,CA,1,0.48,Recycle,1,0,COUNTY,VINEYARD
2226,0,CA,1,0.48,Recycle,1,0,COUNTY,VINEYARD
2253,97.87,CA,1,0.48,Compost,1,0,S,CHURCH
2253,97.87,CA,1,0.48,Garbage,1,97.87,S,CHURCH
2253,97.87,CA,1,0.48,Recycle,1,0,S,CHURCH
2339,1522.96,CA,1,4,Garbage,1,890.4,COUNTY,VINEYARD
2339,1522.96,CA,5,0.48,Recycle,1,0,COUNTY,VINEYARD
2339,1522.96,CA,1,2,Garbage,1,482.56,COUNTY,VINEYARD
2339,1522.96,CA,1,4,Recycle,1,75,COUNTY,VINEYARD
2339,1522.96,CA,1,6,Recycle,1,75,COUNTY,VINEYARD
2342,487.05,CA,3,0.48,Garbage,1,162.35,COUNTY,WINERY
2342,487.05,CA,3,0.48,Recycle,1,0,COUNTY,WINERY
2372,199.35,CA,1,0.16,Garbage,1,49.21,COUNTY,WINERY
2372,199.35,CA,2,0.48,Recycle,1,0,COUNTY,WINERY
2372,199.35,CA,1,0.16,Garbage,1,49.21,COUNTY,WINERY
2372,199.35,CA,1,0.48,Recycle,1,100.93,COUNTY,WINERY
2642,0,CA,1,2,"",1,0,COUNTY,PARK
2678,293.61,CA,1,0.48,Garbage,1,97.87,S,HOME IMPRO
2678,293.61,CA,1,0.48,Recycle,1,0,S,HOME IMPRO
2678,293.61,CA,1,0.48,Garbage,1,97.87,S,HOME IMPRO
2678,293.61,CA,1,0.48,Garbage,1,97.87,S,HOME IMPRO
2678,293.61,CA,1,0.48,Recycle,1,0,S,HOME IMPRO
2678,293.61,CA,1,0.48,Recycle,1,0,S,HOME IMPRO
2754,1227.47,CA,1,6,Garbage,1,1158.56,C,MULTIFAMIL
2754,1227.47,CA,1,0.48,Recycle,1,0,C,MULTIFAMIL
2754,1227.47,CA,2,0.48,Recycle,1,0,C,MULTIFAMIL
2754,1227.47,CA,1,0.48,Compost,1,0,C,MULTIFAMIL
2754,1227.47,CA,1,0.48,Compost,1,68.91,C,MULTIFAMIL
2810,67.49,CA,1,0.32,Garbage,1,67.49,Y,PRESCHOOL
2810,67.49,CA,1,0.48,Recycle,1,0,Y,PRESCHOOL
2810,67.49,CA,1,0.48,Compost,1,0,Y,PRESCHOOL
3159,89.71,CA,1,0.32,Garbage,1,89.71,COUNTY,WINERY
3159,89.71,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
3630,134.57,CA,1,0.48,Garbage,1,134.57,COUNTY,VINEYARD
